Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Chapter Name,Movie ID,Movie Chapter,Movie Title,Release Year,Runtime,Budget,Box Office,Place Name,Place Category,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core)
1,1,8,4,I should have known that you would be here...Professor McGonagall.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
2,1,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
3,1,8,4,"I'm afraid so, Professor. The good, and the bad.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
4,1,8,7,And the boy?,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
5,1,8,4,Hagrid is bringing him.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
6,1,8,7,Do you think it wise to trust Hagrid with something as important as this?,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
7,1,8,4,"Ah, Professor, I would trust Hagrid with my life.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
8,1,8,5,"Professor Dumbledore, Sir. Professor McGonagall.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
9,1,8,4,"No problems, I trust, Hagrid?",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
10,1,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,Unknown,Oak,Unknown
11,1,8,7,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
12,1,8,4,The only family he has.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
13,1,8,7,This boy will be famous. There won't be a child in our world who doesn't know his name.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring
14,1,8,4,Exactly. He's better off growing up away from all that. Until he is ready.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
15,1,8,4,"There, there, Hagrid. It's not really goodbye, after all.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
16,1,8,4,Good luck...Harry Potter.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair
17,2,8,32,Up. Get up.  Now!,The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
18,2,8,31,"Wake up, cousin! We're going to the zoo!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Dudley Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
19,2,8,32,"Oh, here he comes, the birthday boy!",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Petunia Dursley,Human,Female,Gryffindor,Unknown,Unknown,Unknown
20,2,8,21,"Happy birthday, son.",The Vanishing Glass,1,2,Harry Potter and the Philosopher's Stone,2001,152,125000000,1002000000,4 Privet Drive,Dwellings,Vernon Dursley,Human,Male,Gryffindor,Unknown,Unknown,Unknown
